,Prey \ predator,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,Phytoplankton,0.9,0.295,0.3,,0.25,,,,,,,,,
2,Microzooplankton,0.1,0.7,0.25,,,,,,,,,,,
3,Mesozooplankton,,0.005,0.45,,0.4,,,,,,,,,
4,Macrozooplankton,,,,,0.35,,0.7,0.07,0.1,,,,,
5,Benthos,,,,,,1,0.2,0.11,0.01,0.5,0.05,,0.06,
6,Small pelagic fish,,,,,,,0.1,0.31,0.89,0.02,0.05,0.1,0.1,
7,Other demersal fish,,,,,,,,0.05,,0.15,,,0.1,
8,Hoki (j),,,,,,,,0.18,,0.05,,0.6,0.025,
9,Hoki (a),,,,,,,,,,,0.06,,0.025,
10,Southern blue whiting,,,,,,,,0.01,,0.04,,0.2,,
11,Kingklip,,,,,,,,,,,0.02,,0.002,
12,Skates,,,,,,,,,,,,,,
13,Southern hake,,,,,,,,,,0.02,,0.1,0.1,
14,Sea lions,,,,,,,,,,,,,,
15,Detritus,,,,1,,,,,,,,,,
,Import,,,,,,,,0.27,,0.22,0.82,,0.59,
,Sum,1,1,1,1,1,1,1,1,1,1,1,1,1.002,0
,(1 - Sum),0,0,0,0,0,0,0,0,0,0,0,0,-0.002,1
