,Group name,TL
1,Seals,4.99
2,Cetaceans,4.42
3,Seabirds,4.07
4,Halibut/turbot/brill,4.25
5,Whiting,4.36
6,Other demersals,4.16
7,Sharks,4.14
8,Rays/Skates,3.86
9,Cod,3.94
10,Saithe,3.97
11,Other pelagics,3.80
12,Crabs/lobsters,3.80
13,Gurnards,3.72
14,Haddock,3.71
15,Inshore fish,3.60
16,Salmo,3.57
17,Mackerel,3.37
18,Trachurus,3.24
19,Plaice,3.45
20,Sole,3.38
21,Nephrops,3.32
22,Norway pout,3.23
23,Cephalopods,3.19
24,Sandeel,3.23
25,Sprat,3.15
26,Herring,3.15
27,Echinoderms,3.00
28,Other benthic inverts,2.67
29,Prawns/shrimps,2.47
30,Euphausiids,2.26
31,Large zooplankton,2.05
32,Polychaetes,2.04
33,Small zooplankton,2.03
34,Epifauna,2.00
35,Infauna,2.00
36,Phytoplankton,1.00
37,Detritus,1.00
