,Prey \ predator,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,Phytoplankton,0.7,0,0.221,0.229,0.557,0.6,0.211,0.152,0.121,0,0,0,0,0,0.032,0,0,0,0,0,0,0
2,Zooplankton,0,0,0.05,0.05,0.003,0,0.049,0.193,0.783,0.976,0.168,0.419,0.739,0.293,0.95,0.597,0.396,0.649,0.209,0.779,0,0.1
3,Polychaetes,0,0,0.1,0.054,0.022,0,0.146,0.121,0,0,0.121,0,0,0,0,0,0.286,0,0,0,0,0.005
4,Mollusks,0,0,0.008,0.048,0.034,0,0,0,0,0,0.063,0,0,0,0,0.182,0,0,0,0,0,0.014
5,Benthic Crustaceans,0,0,0,0,0.003,0,0,0,0,0.017,0.089,0.093,0.088,0,0,0.173,0.174,0.237,0.073,0.085,0,0.002
6,Echinoderms,0,0,0,0,0.059,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.005
7,Other invertebrates,0,0,0.01,0.001,0.08,0,0.123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005
8,Crabs,0,0,0,0,0,0,0,0,0,0,0.093,0,0.001,0,0.001,0.012,0.004,0,0,0,0,0.02
9,Shrimps,0,0,0,0,0,0,0.003,0,0,0.005,0.15,0.005,0.001,0.004,0.003,0.002,0.015,0.014,0.492,0.007,0,0.02
10,Cephalopods,0,0,0,0,0,0,0,0,0,0,0.004,0.013,0.002,0,0,0.011,0.12,0.034,0.022,0,0,0.406
11,Planktivores,0,0,0,0,0,0,0,0,0.018,0.003,0.012,0.207,0.053,0.605,0.002,0.014,0,0.043,0.205,0.1,0.107,0.19
12,Benthivores,0,0,0,0,0,0,0,0,0,0,0.012,0.007,0.002,0.004,0,0,0.001,0.003,0,0.007,0.19,0
13,Piscivores,0,0,0,0,0,0,0,0,0,0,0,0.005,0.009,0,0,0,0,0,0,0,0.008,0.051
14,Hairtails,0,0,0,0,0,0,0,0,0,0,0.002,0.025,0.044,0.007,0,0.003,0,0.001,0,0,0.074,0.001
15,Bombay duck,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.082,0,0.003,0,0,0,0,0.042,0
16,Planktivores/Benthivores,0,0,0,0,0,0,0,0,0,0,0,0.161,0,0.005,0,0,0,0,0,0,0.108,0.03
17,Planktivores/Piscivores,0,0,0,0,0,0,0,0,0,0,0,0,0.044,0,0,0.002,0,0.02,0,0.022,0.111,0.15
18,Benthivores/Piscivores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0.138,0.001
19,Omnivores,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0.005,0,0,0,0.159,0
20,Large yellow croakers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0
21,Small yellow croakers,0,0,0,0,0,0,0,0,0,0,0,0.063,0.008,0,0,0,0,0,0,0,0.057,0.001
22,Sharks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Marine mammals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Detritus,0.3,1,0.611,0.618,0.242,0.4,0.467,0.534,0.078,0,0.283,0,0,0,0.013,0,0,0,0,0,0,0
,Import,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sum,1,1,1,1,1,1,0.999,1,1,1.001,0.998,1.001,0.997,1,1.001,1,1.001,1.001,1.001,1,0.998,1.001
,(1 - Sum),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
