,Prey \ predator,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,Planktivores,,0.37,,,0,,,,,,,,,,
2,Piscivores,,,,,,,,,,,,,,,
3,Sebastes schlegelii,,0.01,,,,,,,,,,,,,
4,Hexagrammos otakii,,,,,,,,,,,,,,,
5,Benthivores,,0.03,,,0.03,,0.03,0.03,0.06,0.01,,,,,
6,Enedrias fangi,,0.22,0.36,,0.09,,,0.05,0.02,,,,,,
7,Gobiidae,,0.09,0.16,0.24,0.15,,0.03,0.05,0.04,0.01,,,,,
8,Cephalopoda,,0,0,0,0,,,0,0,0.01,,,,,
9,Charybdis japonica,,,,,0.03,,,0.32,,,,,,,
10,Crustacean,0.06,0.05,0.47,0.5,0.26,0.11,0.29,0.02,0.16,0.12,,,,,
11,Gastropoda,,0,,,0.05,,,,0.14,0.03,0.05,,,,
12,Shell fish-killers,,,,,0.04,,,,,,,,,,
13,Crassostrea gigas,,,,,,,,,0.2,,,1,,,
14,Infauna,,,0.01,0.13,0.16,0.2,0.46,0.06,0.23,0.27,,,,,
15,Zooplankton,0.5,0.24,,0.1,0.07,0.57,0.19,0.26,,0.14,0.05,,,0.11,
16,Phytoplankton,0.2,,,,0.03,,,,,,0.2,,0.5,0.04,0.8
17,Algae,,,,0.03,,,,,,0.17,0.2,,,0.25,
18,Detritus,0.24,,,,0.1,0.13,,,0.15,0.24,0.5,,0.5,0.6,0.2
,Import,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0
,Sum,1,1.01,1,1,1.01,1.01,1,1,1,1,1,1,1,1,1
,(1 - Sum),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
