,Prey \ predator,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,Charadriiformes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Anseriformes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Gruiformes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Other benthic fishes,0,0,0,0.03,0,0.1,0.1,0.01,0.05,0,0,0,0,0,0,0,0,0
5,Other pelagic fishes,0,0,0,0.01,0.015,0.04,0.08,0.01,0.015,0,0,0,0,0,0,0,0,0
6,Dasyatidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Anguilliformes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Pleuronectiformes,0,0,0,0,0,0.48,0.21,0.08,0,0,0,0,0,0,0,0,0,0
9,Sciaenidae,0,0,0,0,0,0.12,0.06,0,0.01,0,0,0,0,0,0,0,0,0
10,Engraulidae,0,0,0,0,0.06,0.06,0.103,0.025,0.1,0,0,0,0,0,0,0,0,0
11,Stromateidae,0,0,0,0,0.06,0,0,0.06,0.08,0,0,0,0,0,0,0,0,0
12,Decapod,0.1,0.22,0.13,0.29,0.1,0.1,0.1,0.26,0.35,0.1,0,0,0.05,0.16,0,0,0,0
13,Brachyura,0.25,0.25,0.27,0.12,0,0,0.247,0,0.2,0.01,0,0.005,0.05,0.05,0,0,0,0
14,Cephalopoda,0,0,0,0.03,0.01,0.1,0.1,0.1,0,0,0,0.001,0,0.03,0,0,0,0
15,Benthic macrobenthos,0.65,0.53,0.6,0.13,0,0,0,0,0,0.06,0,0.4,0.4,0.28,0.05,0,0,0
16,Benthic meiobenthos,0,0,0,0.09,0.135,0,0,0.455,0.145,0.03,0,0.12,0.15,0.06,0.1,0,0.04,0
17,Jellyfishes,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.05,0,0.03,0
18,Zooplankton,0,0,0,0.3,0.55,0,0,0,0.05,0.8,0.35,0.124,0.08,0.42,0.3,0.05,0.85,0.02
19,Phytoplankton,0,0,0,0,0.07,0,0,0,0,0,0.45,0.05,0.02,0,0.1,0.15,0.08,0.73
20,Detritus,0,0,0,0,0,0,0,0,0,0,0,0.3,0.25,0,0.4,0.8,0,0.25
,Import,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sum,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,(1 - Sum),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
